,heading,text
0,Chicago Gun Violence Spikes and Increasingly Finds the Youngest Victims,"As Yasmin Miller drove home from a laundromat in Chicago’s Englewood neighborhood last weekend, a gunman in another car peppered her red Hyundai sedan with bullets, grazing her head and striking her son, Sincere Gaston, in the chest. Sincere died in his car seat. He was 20 months old.
On June 20, a man fired gunshots through the back of a dark blue SUV, wounding the 27-year-old man driving and hitting his stepson, Mekhi James, in the back, killing him. Mekhi was three.
Two girls, both aged three, were hospitalized..."
1,"‘Bullets just came from nowhere’: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","As many Chicagoans were celebrating the Fourth of July with barbecues and after-dinner fireworks, relatives of Natalia Wallace were experiencing the worst day of their lives.
The 7-year-old girl was one of at least 80 people shot, at least 17 of those fatally, across the city during the violent holiday weekend, starting Thursday afternoon. Gunfire erupted outside her relative’s home Saturday on the West Side, and she became the latest in a horrific string of children whose lives have been taken away by gun violence in Chicago.
“Bullets just came..."
2,Dozens of shootings across US mark bloody July 4th weekend,"The nation’s 4th of July weekend was marred by the wrong kind of fireworks.
A spate of shootings throughout the US left more than 150 people wounded and nearly two-dozen dead so far this weekend, including 67 gunshot victims in Chicago over a blood-splattered weekend, according to reports.
Police said 13 people were killed in separate shootings in the Second City, including a 7-year-old girl who was at a Fourth of July party in the city’s Austin neighborhood and a 14-year-old boy, the Chicago Sun-Times reported Sunday.
“Tonight, a 7-year-old..."
3,Federal Government Will Run Out of Cash on Oct. 18 If Debt Ceiling Isn’t Raised: Treasury Secretary,"Treasury Secretary Janet Yellen on Tuesday warned members of Congress that the United States’ cash reserves will likely be exhausted unless lawmakers vote to raise or suspend the debt ceiling by Oct. 18, warning that it’s not clear if the United States would be able to meet all of its financial obligations if no deal is passed by then.
If that deadline is reached, “we expect Treasury would be left with very limited resources that would be depleted quickly,” Yellen warned, adding that it is “uncertain whether we could continue to meet..."
4,Yellen warns lawmakers U.S. Treasury to hit debt limit Oct. 18,"Treasury Secretary Janet Yellen on Tuesday told Congress that the U.S. will run out of flexibility to avoid breaching the debt limit on Oct. 18, setting a new deadline for lawmakers to avoid a catastrophic default on its payment obligations.
“It is uncertain whether we could continue to meet all the nation’s commitments after that date,” Yellen wrote in the letter to House Speaker Nancy Pelosi (D-Calif.).
Yellen’s letter came less than 24 hours after Senate Republicans blocked a bill that would suspend the debt ceiling and prevent a government shutdown on Friday. Senate..."
5,,"U.S. Treasury Secretary Janet Yellen on Tuesday again warned lawmakers that the nation was close to exhausting its federal borrowing capabilities - now set for Oct. 18 - and urged Congress to act in order to avert “serious harm” to the economy.
“At that point, we expect Treasury would be left with very limited resources that would be depleted quickly,” she wrote in her latest letter to congressional leaders.
“It is uncertain whether we could continue to meet all the nation’s commitments after that date,” she added in the letter,..."
6,Washed-Up Chris Christie Rips Into Hillary Clinton,"It was surely different from 2012.
Back then, Chris Christie was a potential candidate introducing himself on the national stage as his party nominated Mitt Romney.
The Republican convention was the first time many conservatives and Americans around the country learned the facts of what would become the New Jersey governor’s stump speech: that he is the son of an Irish father and a Sicilian mother, that his mother ruled with an iron fist and his dad was, “in the automobile of life,” merely “a passenger.” He was..."
7,"Christie convicts Clinton, but was he 'guilty' of going too far?",Chris Christie wasn’t the only one prosecuting the case against Hillary Clinton last night—Ben Carson tossed out a reference to Lucifer—but he was clearly the lead attorney.
8,Anti-Clinton Republican National Convention Crowd Chants ‘Lock Her Up’,"The crowd at the 2016 Republican National Convention on Tuesday repeatedly chanted “lock her up” at the mention of presumptive Democratic presidential nominee Hillary Clinton’s name.
As New Jersey Gov. Chris Christie spoke on the second night of the convention, he ticked off criti"
9,Biden admin to pharmacies: Refusing to fill contraception and abortion pill prescriptions could break federal law,"Senior Biden administration officials announced Wednesday that they are reminding tens of thousands of pharmacies around the country that they risk violating civil rights laws if they refuse to fill orders for contraception or abortion medication or discriminate based on a person’s pregnancy status.
The action comes a few weeks after the Supreme Court overturned Roe v. Wade and gave more than a dozen states a green light to ban abortion, and aims to respond to a wave of reports that pharmacies in those states are refusing to not only fill prescriptions for abortion..."
